id,surname,country
403,Kulle,Sweden
404,Kulti,Sweden
405,Kvamme,Sweden
406,Laestadius,Sweden
407,Lagerroth,Sweden
408,Lagerspetz,Sweden
409,Lamm,Sweden
410,Landgre,Sweden
411,Lannefors,Sweden
412,Larsen,Sweden
413,Larsson,Sweden
414,Lidstrom,Sweden
415,Lie,Sweden
416,Lien,Sweden
417,Lillkvist,Sweden
418,Lindberg,Sweden
419,Lindfors,Sweden
420,Lindholm,Sweden
421,Lindhom,Sweden
422,Lindman,Sweden
423,Lindquist,Sweden
424,Lindstrand,Sweden
425,Lindt,Sweden
426,Linhart,Sweden
427,Linnaeus,Sweden
428,Linstrum,Sweden
429,Ljungberg,Sweden
430,Ljungdahl,Sweden
431,Ljunggren,Sweden
432,Löfgren,Sweden
433,Lohse,Sweden
434,Lojdahl,Sweden
435,Lonnquist,Sweden
436,Lonnqvist,Sweden
437,Lönnrot,Sweden
438,Lönnroth,Sweden
439,Loof,Sweden
440,Lovgren,Sweden
441,Lund,Sweden
442,Lundahl,Sweden
443,Lunde,Sweden
444,Lundin,Sweden
445,Lyngstrad,Sweden
446,Lysen,Sweden
447,Malmer,Sweden
448,Malmgren,Sweden
449,Malmsten,Sweden
450,Mannerheim,Sweden
451,Martensson,Sweden
452,Martinpelto,Sweden
453,Martinsen,Sweden
454,Mathias,Sweden
455,Mathisen,Sweden
456,Mechelin,Sweden
457,Mednick,Sweden
458,Melander,Sweden
459,Melin,Sweden
460,Mikkelsen,Sweden
461,Mild,Sweden
462,Mjallby,Sweden
463,Moberg,Sweden
464,Moe,Sweden
465,Moen,Sweden
466,Molander,Sweden
467,Möring,Sweden
468,Myhre,Sweden
469,Myklebust,Sweden
470,Myrdal,Sweden
471,Næss,Sweden
472,Narup,Sweden
473,Nasman,Sweden
474,Neumann,Sweden
475,Newquist,Sweden
476,Nielsen,Sweden
477,Niklot,Sweden
478,Nilsen,Sweden
479,Nilsmark,Sweden
480,Nilsson,Sweden
481,Nordby,Sweden
482,Nordenberg,Sweden
483,Nordin,Sweden
484,Nordlund,Sweden
485,Norgen,Sweden
486,Nowen,Sweden
487,Nyberg,Sweden
488,Nygård,Sweden
489,Nyholm,Sweden
490,Nykvist,Sweden
491,Nylander,Sweden
492,Nylen,Sweden
493,Nyman,Sweden
494,Nyquist,Sweden
495,Nystrom,Sweden
496,Ødegård,Sweden
497,Odhe,Sweden
498,Ohisson,Sweden
499,Ohman,Sweden
500,Olander,Sweden
501,Olin,Sweden
502,Olsen,Sweden
503,Olsson,Sweden
504,Ondahl,Sweden
505,Ortendhal,Sweden
506,Ostling,Sweden
507,Ottestad,Sweden
508,Ottosson,Sweden
509,Oxenstierna,Sweden
510,Paerson,Sweden
511,Palander,Sweden
512,Palme,Sweden
513,Parmander,Sweden
514,Parnevik,Sweden
515,Passgard,Sweden
516,Paulsen,Sweden
517,Pedersen,Sweden
518,Pernfors,Sweden
519,Persson,Sweden
520,Petersson,Sweden
521,Petraeus,Sweden
522,Pettersen,Sweden
523,Petterssen,Sweden
524,Pettersson,Sweden
525,Pile,Sweden
526,Pollak,Sweden
527,Porthan,Sweden
528,Rask,Sweden
529,Rasmussen,Sweden
530,Renberg,Sweden
531,Ringom,Sweden
532,Rolf,Sweden
533,Ronback,Sweden
534,Rønning,Sweden
535,Rorholm,Sweden
536,Rosengren,Sweden
537,Rudbeck,Sweden
538,Rudberg,Sweden
539,Rudkilde,Sweden
540,Runas,Sweden
541,Runeberg,Sweden
542,Ruud,Sweden
543,RystrØ,Sweden
544,Sæther,Sweden
545,Saevas,Sweden
546,Sahlstein,Sweden
547,Salchow,Sweden
548,Salo,Sweden
549,Samuelson,Sweden
550,Samuelsson,Sweden
551,Sandelin,Sweden
552,Sandell,Sweden
553,Sandstedt,Sweden
554,Sandstrøm,Sweden
555,Sandvik,Sweden
556,Segerstam,Sweden
557,Sentzke,Sweden
558,Silander,Sweden
559,Silfverberg,Sweden
560,Simonsen,Sweden
561,Sivertsen,Sweden
562,Sjoberg,Sweden
563,Sjodin,Sweden
564,Sjögren,Sweden
565,Sjöland,Sweden
566,Sjostrom,Sweden
567,Sjovold,Sweden
568,Skaarenor,Sweden
569,Skjöldebrand,Sweden
570,Skold,Sweden
571,Skovhus,Sweden
572,Soderberg,Sweden
573,Soderblom,Sweden
574,Soderburg,Sweden
575,Söderholm,Sweden
576,Soderqvist,Sweden
577,Soderstrom,Sweden
578,Solberg,Sweden
579,Solheim,Sweden
580,Sologub,Sweden
581,Solomonsson,Sweden
582,Sonderby,Sweden
583,Sonderlei,Sweden
584,Sørensen,Sweden
585,Sorenstam,Sweden
586,Spekke,Sweden
587,Speltke,Sweden
588,Sprengporten,Sweden
589,Stahlhamdske,Sweden
590,Stahrberg,Sweden
591,Standlund,Sweden
592,Steffensen,Sweden
593,Stenberger,Sweden
594,Stenmark,Sweden
595,Sterner,Sweden
596,Stjerna,Sweden
597,Strand,Sweden
598,Stranga,Sweden
599,Strenius,Sweden
600,Strindberg,Sweden
601,Strøm,Sweden
602,Sudesval,Sweden
603,Sundberg,Sweden
604,Sundell,Sweden
605,Sundgren,Sweden
606,Sundin,Sweden
607,Sundquist,Sweden
608,Sundstrom,Sweden
609,Suneson,Sweden
610,Sunneborn,Sweden
611,Svahnstrom,Sweden
612,Svan,Sweden
613,Svendsen,Sweden
614,Svensson,Sweden
615,Svinhufuud,Sweden
616,Swanstrom,Sweden
617,Swartling,Sweden
618,Swedbourg,Sweden
619,Swedenhielm,Sweden
620,Szalkai,Sweden
621,Talman,Sweden
622,Tangen,Sweden
623,Tanner,Sweden
624,Tanquist,Sweden
625,Taube,Sweden
626,Tegner,Sweden
627,Temrin,Sweden
628,Tengstrom,Sweden
629,Thern,Sweden
630,Thomassen,Sweden
631,Thoresen,Sweden
632,Thorsen,Sweden
633,Thorssel,Sweden
634,Thullin,Sweden
635,Thunberg,Sweden
636,Thurell,Sweden
637,Tidlund,Sweden
638,Tillstrom,Sweden
639,Topelius,Sweden
640,Torkelinson,Sweden
641,Tornquist,Sweden
642,Törre,Sweden
643,Tott,Sweden
644,Trana,Sweden
645,Tveit,Sweden
646,Uhlgren,Sweden
647,Ulvaeus,Sweden
648,Utne,Sweden
649,Valberg,Sweden
650,Valquist,Sweden
651,Vik,Sweden
652,Waara,Sweden
653,Wahlroos,Sweden
654,Wahlström,Sweden
655,Waleenstedt,Sweden
656,Walfridsson,Sweden
657,Wallen,Sweden
658,Walsø,Sweden
659,Wanberg,Sweden
660,Wedlund,Sweden
661,Wegraeus,Sweden
662,Weibull,Sweden
663,Westergren,Sweden
664,Westermark,Sweden
665,Wetterstrom,Sweden
666,Wetterstrum,Sweden
667,Wiberg,Sweden
668,Wideen,Sweden
669,Widemark,Sweden
670,Widerberg,Sweden
671,Wiese,Sweden
672,Wifstrand,Sweden
673,Wiik,Sweden
674,Wikborg,Sweden
675,Wiklander,Sweden
676,Wikstrom,Sweden
677,Wilander,Sweden
678,Winnerstrand,Sweden
679,Wistrom,Sweden
680,Wrede,Sweden
681,Yoriksson,Sweden
682,Zachrisson,Sweden
683,Zahrisson,Sweden
684,Zettesberg,Sweden
685,Zilliacus,Sweden
686,Abrao,Portugal
687,Acuna,Portugal
688,Aldair,Portugal
689,Alvares,Portugal
690,Alves,Portugal
691,Andrade,Portugal
692,Anibal,Portugal
